code;number;edition;character;series;quality;obtainedDate;obtainedTimestamp;burnValue;dye.code;dye.name;frame;morphed;trimmed;tag;alias;wishlists;fights;dropQuality;dropper;grabber;guild;worker.effort;worker.style;worker.purity;worker.grabber;worker.dropper;worker.quickness;worker.toughness;worker.vanity;worker.recoveryDate;worker.recoveryTimestamp
vvlcnl5;52468;1;Raika Meiki;R-15;1;Sat, 29 Apr 2023 17:51:21 GMT;1,68279E+12;2;;;;No;No;;;0;0;1;7,32966E+17;7,32966E+17;7,57946E+17;1;F;S;S;S;D;F;D;;
vvlcnlk;52204;1;Climber's Partner;Laid-Back Camp;3;Sat, 29 Apr 2023 17:51:16 GMT;1,68279E+12;8;;;;No;No;;;1;0;3;7,32966E+17;7,32966E+17;7,57946E+17;4;F;S;S;S;C;F;D;;
vvlcnlw;51781;1;Masao Kamata;Bihada Ichizoku;2;Sat, 29 Apr 2023 17:51:11 GMT;1,68279E+12;1;;;;No;No;;;0;0;2;7,32966E+17;7,32966E+17;7,57946E+17;0;F;S;S;S;B;F;D;;
vvl6s6f;17169;3;Ume Aihara;Citrus;2;Sat, 29 Apr 2023 17:23:48 GMT;1,68279E+12;27;;;;No;No;;;3;0;2;7,32966E+17;7,32966E+17;7,17031E+17;15;F;S;S;S;A;F;D;;
vvlxwmk;30456;2;Takami Shibuya;Saki: Episode of Side A;2;Sat, 29 Apr 2023 16:20:10 GMT;1,68279E+12;16;;;;No;No;;;0;0;2;7,32966E+17;7,32966E+17;7,17031E+17;8;F;S;S;S;A;F;D;;
vvlxzcq;52236;1;Yoko Nakagawa;Cardcaptor Sakura;2;Sat, 29 Apr 2023 16:04:53 GMT;1,68278E+12;3;;;;No;No;;;1;0;2;7,32966E+17;7,32966E+17;6,48032E+17;1;F;S;S;S;S;F;D;;
vvlxrv3;6926;4;Hinami Fueguchi;Tokyo Ghoul;2;Sat, 29 Apr 2023 15:36:27 GMT;1,68278E+12;59;;;;No;No;;;30;0;2;7,32966E+17;7,32966E+17;6,48032E+17;34;F;S;S;S;A;F;D;;
vvlxzt4;52516;1;Tojo;Fire Force;2;Sat, 29 Apr 2023 15:19:24 GMT;1,68278E+12;13;;;;No;No;fire;;1;0;2;7,32966E+17;7,32966E+17;7,17031E+17;5;F;S;S;S;B;F;D;;
vvlx9sk;3979;4;Red;Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside;2;Sat, 29 Apr 2023 14:53:03 GMT;1,68278E+12;44;;;;No;No;;;16;0;2;7,32966E+17;7,32966E+17;7,57946E+17;21;F;S;S;S;F;F;D;;
vvlxkdh;5493;2;Amanoiwato;Miss Kuroitsu from the Monster Development Department;4;Sat, 29 Apr 2023 14:37:21 GMT;1,68278E+12;67;;;;No;No;;;0;0;4;7,32966E+17;7,32966E+17;6,48032E+17;38;F;S;S;S;A;F;D;;
