"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"vq1zglr","7757","1","Phoenix","Log Horizon","2","Fri, 14 Jul 2023 16:05:27 GMT","1689350727457","13","","","","No","No","","","0","0","2","732966109916954677","732966109916954677","717030509405929503","6","F","S","S","S","A","F","D","",""
"vq14hcz","768","1","Noir","Nikke: Goddess of Victory","4","Fri, 14 Jul 2023 15:35:09 GMT","1689348909623","252","","","","No","No","","","77","0","4","732966109916954677","732966109916954677","717030509405929503","139","F","S","S","S","A","F","D","",""
"vq1nwz8","54709","1","Captain Zellman","Mobile Suit Gundam SEED","2","Fri, 14 Jul 2023 13:40:41 GMT","1689342041779","1","","","","No","No","","","0","0","2","732966109916954677","732966109916954677","717030509405929503","0","F","S","S","S","A","F","D","",""
"hw6jzd","402","2","Shouto Todoroki","My Hero Academia","4","Fri, 14 Jul 2023 13:37:54 GMT","1689341874838","364","$07hrn","Mystic Mandarin Peel","fireandice","Yes","No","mha","","1538","18","1","732966109916954677","732966109916954677","648031568756998155","424","S","C","S","S","S","S","A","Fri, 11 Aug 2023 13:35:32 GMT","1691760932594"
"q8k9hs","133","2","Hisoka","Hunter x Hunter","4","Fri, 14 Jul 2023 13:37:21 GMT","1689341841089","352","$vjxtz","Mystic Pink Elephants","circustent","Yes","No","worker","","1109","15","3","732966109916954677","732966109916954677","648031568756998155","431","S","A","S","S","S","S","A","Fri, 28 Jul 2023 01:11:07 GMT","1690506667774"
"vq11089","32059","2","Ouranos","Sword Oratoria: Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side","0","Fri, 14 Jul 2023 13:20:47 GMT","1689340847028","4","","","","No","No","","","1","0","0","","732966109916954677","717030509405929503","1","F","S","S","F","A","F","D","",""
"vvx0bf2","7251","4","Faris Nyannyan","Steins;Gate","2","Fri, 14 Jul 2023 13:14:12 GMT","1689340452331","60","","","","No","No","steins","","30","0","1","620020386595078227","620020386595078227","717030509405929503","29","F","A","F","F","A","F","D","",""
"vq11wf6","15234","1","Kurisu Makise","Steins;Gate","1","Fri, 14 Jul 2023 13:11:59 GMT","1689340319328","35","","","","No","No","steins","","981","0","1","865167665210064899","732966109916954677","717030509405929503","16","F","S","S","F","F","F","D","",""
"vq1ntsr","54972","1","Erika Sitate","Black Clover","2","Fri, 14 Jul 2023 13:05:54 GMT","1689339954946","11","","","","No","No","","","1","0","2","732966109916954677","732966109916954677","717030509405929503","6","F","S","S","S","A","F","D","",""
"vq1b608","54456","1","Kasumi Nomura","Asobi Asobase","3","Fri, 14 Jul 2023 13:02:45 GMT","1689339765758","22","","","","No","No","","","9","0","3","1116792008024014884","1116792008024014884","717030509405929503","10","F","S","F","F","C","F","D","",""
"vq1w45d","8188","4","Fate Testarossa","Magical Girl Lyrical Nanoha","4","Fri, 14 Jul 2023 05:17:49 GMT","1689311869141","144","","","","No","No","","","14","0","4","732966109916954677","732966109916954677","757946476809682954","79","F","S","S","S","A","F","D","",""
"vq1h2cq","54766","1","Sabatora Bananya","Bananya","2","Fri, 14 Jul 2023 03:23:07 GMT","1689304987516","23","","","","No","No","","","4","0","2","732966109916954677","732966109916954677","717030509405929503","14","F","S","S","S","A","F","D","",""
"vq10zmk","38145","1","Tank","Solo Leveling","4","Fri, 14 Jul 2023 00:39:34 GMT","1689295174625","128","","","","No","No","","","14","1","4","732966109916954677","732966109916954677","717030509405929503","70","F","S","S","S","A","D","D","",""
"vqn9fl1","13351","3","Akagawa's Father","The Night Is Short, Walk on Girl","1","Thu, 13 Jul 2023 08:55:58 GMT","1689238558597","6","","","","No","No","","","1","0","1","732966109916954677","732966109916954677","757946476809682954","4","F","S","S","S","A","F","D","",""
"vqng41x","55062","1","Bomba","One Piece","3","Thu, 13 Jul 2023 07:27:47 GMT","1689233267727","13","","","","No","No","op","","2","0","3","732966109916954677","732966109916954677","717030509405929503","5","F","S","S","S","B","F","D","",""
"vqn3ggw","54614","1","Kotarou Fuuma","Nabari no Ou","2","Thu, 13 Jul 2023 06:39:12 GMT","1689230352346","2","","","","No","No","","","1","0","2","732966109916954677","732966109916954677","717030509405929503","1","F","S","S","S","A","F","D","",""
"vqnz9lm","54880","1","Julie Dmitrievich","Sunday Without God","1","Thu, 13 Jul 2023 02:58:08 GMT","1689217088173","1","","","","No","No","","","0","0","1","732966109916954677","732966109916954677","717030509405929503","0","F","S","S","S","A","F","D","",""
"vqnj420","11752","3","Grévil de Blois","Gosick","0","Wed, 12 Jul 2023 22:54:04 GMT","1689202444457","4","","","","No","No","","","1","0","0","732966109916954677","732966109916954677","717030509405929503","1","F","S","S","S","A","F","D","",""
"vqn5wnd","1041","2","Momo","Avatar: The Last Airbender","3","Wed, 12 Jul 2023 19:49:35 GMT","1689191375388","149","","","","No","No","gift","","231","0","3","732966109916954677","732966109916954677","717030509405929503","83","F","S","S","S","A","F","D","",""
"vqnw7fj","54945","1","Abiru","That Time I Got Reincarnated as a Slime","1","Wed, 12 Jul 2023 18:07:26 GMT","1689185246102","4","","","","No","No","","","1","0","1","732966109916954677","732966109916954677","717030509405929503","1","F","S","S","S","A","F","D","",""
"vqn2rj9","54642","1","Male Student","Another 0-kan","2","Wed, 12 Jul 2023 16:30:09 GMT","1689179409853","2","","","","No","No","another","","1","0","2","732966109916954677","732966109916954677","717030509405929503","1","F","S","S","S","B","F","D","",""
"vqn0n52","6891","4","Shigure Hakka","DREAM!ing","3","Wed, 12 Jul 2023 13:45:44 GMT","1689169544743","67","","","","No","No","","","2","0","3","610048938627563530","732966109916954677","717030509405929503","34","F","S","S","F","B","F","D","",""
